DateTime,RecordingTime,Values,
,16.244019,1.493732,
,16.257322,1.467731,
,16.271549,1.439437,
,16.285624,1.410977,
,16.299562,1.382355,
,16.313786,1.352726,
,16.327335,1.324124,
,16.341143,1.294631,
,16.355255,1.264146,
,16.368889,1.234394,
,16.383078,1.20314,
,16.397211,1.171741,
,16.411495,1.139771,
,16.428001,1.102558,
,16.444826,1.064381,
,16.460915,1.027679,
,16.474146,0.99739,
,16.487755,0.966156,
,16.500471,0.936922,
,16.513832,0.906177,
,16.528704,0.871953,
,16.543743,0.837369,
,16.556372,0.808378,
,16.570076,0.776989,
,16.58378,0.7457,
,16.597492,0.714524,
