DateTime,RecordingTime,Values,PartTimes,
,7.766438,0.517507,0.307494,
,7.779373,0.286689,0.283451,
,7.791878,0.837268,0.259073,
,7.804788,1.149422,0.234986,
,7.817793,0.252639,0.211671,
,7.830643,0.378753,0.187475,
,7.844279,1.774742,0.163658,
,7.858032,1.375656,0.140685,
,7.871644,1.14595,0.117329,
,7.885875,1.366298,0.094119,
,7.900454,0.455174,0.073224,
,7.914001,0.817106,0.054491,
,7.926529,0.918366,0.03584,
,7.939408,1.880563,0.017531,
,7.952494,1.648478,-0.000851,
,7.966136,1.353707,-0.018444,
,7.979734,1.548958,-0.035239,
,7.993287,0.487689,-0.051351,
,8.0069,1.410991,-0.06563,
,8.019549,0.875512,-0.079461,
,8.032415,1.020942,-0.093575,
,8.046285,0.877628,-0.106463,
,8.059734,1.381058,-0.118768,
,8.07343,1.205424,-0.13011,
,8.08697,0.910563,-0.140583,
,8.100451,0.997054,-0.150522,
,8.114365,1.872782,-0.159465,
,8.128106,0.965602,-0.167448,
,8.141694,0.959379,-0.174337,
,8.154817,0.894786,-0.180369,
,8.167829,0.90093,-0.185962,
,8.181819,0.900793,-0.190316,
,8.194793,0.664881,-0.193714,
,8.207139,0.256188,-0.196575,
,8.220534,1.186344,-0.198548,
,8.233699,1.177473,-0.199752,
,8.248108,0.050106,-0.199966,
,8.262037,0.850085,-0.199352,
,8.274665,1.795096,-0.197869,
,8.288013,-0.132192,-0.195494,
,8.301535,0.081445,-0.19207,
,8.315683,0.909549,-0.187809,
,8.32948,1.360459,-0.182256,
,8.344221,0.807518,-0.175649,
,8.359012,0.880399,-0.168459,
,8.372988,0.72808,-0.161008,
,8.385895,0.844502,-0.152872,
,8.398667,1.821328,-0.142907,
,8.41292,-0.046382,-0.13246,
,8.426612,0.899998,-0.1208,
,8.440731,1.067307,-0.108679,
,8.454383,0.899428,-0.095576,
,8.468196,0.802787,-0.082079,
,8.481589,0.731776,-0.068595,
,8.494264,1.21721,-0.052913,
,8.508261,1.587575,-0.036419,
,8.522254,0.58214,-0.018962,
,8.536373,0.650546,-0.001856,
,8.549619,0.93831,0.016985,
,8.563625,1.586514,0.03559,
,8.576933,1.496236,0.056384,
,8.591271,0.560452,0.075593,
,8.604074,0.503807,0.095963,
,8.617238,0.618839,0.116843,
,8.630342,1.122866,0.140933,
,8.64502,0.725682,0.163553,
,8.658423,0.60541,0.188494,
,8.672818,-0.155739,0.213049,
,8.68664,1.181262,0.239319,
,8.701082,0.677828,0.265845,
,8.71534,0.900465,0.293124,
,8.729695,1.272464,0.321303,
,8.744231,-0.040661,0.34891,
,8.758211,0.870357,0.37788,
,8.772632,0.600911,0.40764,
,8.787206,1.798369,0.43798,
,8.801838,-0.14655,0.469332,
,8.816743,0.664198,0.501664,
,8.831909,1.743414,0.534859,
,8.847289,1.565513,0.566422,
,8.861753,0.767017,0.597191,
,8.875719,1.008754,0.632243,
,8.89149,1.323484,0.666724,
,8.906877,1.096696,0.699705,
,8.921494,1.1273,0.734903,
,8.937003,0.6851,0.768477,
,8.951726,0.77411,0.802374,
,8.966536,1.459021,0.836107,
,8.981233,1.708681,0.868105,
,8.995149,0.926889,0.900635,
,9.009285,0.923077,0.933128,
,9.023405,1.259567,0.965224,
,9.037365,0.165797,0.997163,
,9.051281,1.007156,1.028805,
,9.065103,0.799465,1.059926,
,9.078743,1.16725,1.0891,
,9.091581,1.933168,1.118733,
,9.104685,1.067359,1.149886,
,9.118539,1.90949,1.181553,
,9.132719,0.862871,1.210206,
,9.145645,0.882618,1.240984,
,9.159646,1.445321,1.270916,
,9.173391,0.900055,1.301201,
,9.187445,0.776461,1.331388,
,9.201615,0.855952,1.359956,
,9.215193,0.308599,1.387976,
,9.228684,0.892696,1.416601,
,9.242666,1.192959,1.443978,
,9.256244,0.973413,1.470683,
,9.269703,1.268489,1.497452,
,9.283429,1.383102,1.523952,
,9.297275,0.859001,1.549104,
,9.310675,0.369329,1.572812,
,9.323563,0.571918,1.59747,
,9.337258,0.787176,1.621727,
,9.351053,0.058114,1.643928,
,9.36399,0.949217,1.666334,
,9.377379,0.559482,1.689764,
